0,64,0.03328
0,128,0.030304
0,256,0.029984
1,64,0.032288
1,128,0.030848
1,256,0.034016
2,64,0.030656
2,128,0.04224
2,256,0.031648
3,64,0.031296
3,128,0.035872
3,256,0.030144
4,64,0.030048
4,128,0.032032
4,256,0.029696
5,64,0.046144
5,128,0.03024
5,256,0.031552
6,64,0.030304
6,128,0.059904
6,256,0.031008
7,64,0.030656
7,128,0.030304
7,256,0.033376
8,64,0.05664
8,128,0.030208
8,256,0.028544
9,64,0.034848
9,128,0.036992
9,256,0.033024
10,64,0.047456
10,128,0.028704
10,256,0.027872
11,64,0.031648
11,128,0.028288
11,256,0.049472
12,64,0.035072
12,128,0.031488
12,256,0.031392
13,64,0.03216
13,128,0.032832
13,256,0.031008
14,64,0.030368
14,128,0.02976
14,256,0.03392
15,64,0.028992
15,128,0.032864
15,256,0.021952
16,64,0.039008
16,128,0.038432
16,256,0.036576
17,64,0.0592
17,128,0.034016
17,256,0.039328
18,64,0.404672
18,128,0.559744
18,256,1.11162
19,64,0.549152
19,128,1.21853
19,256,0.635872
