0,64,0.057952
0,128,0.050976
0,256,0.055392
1,64,0.061024
1,128,0.05184
1,256,0.061024
2,64,0.054944
2,128,0.074592
2,256,0.063296
3,64,0.056192
3,128,0.069664
3,256,0.05168
4,64,0.054208
4,128,0.060256
4,256,0.052928
5,64,0.077152
5,128,0.04992
5,256,0.06256
6,64,0.061504
6,128,0.1112
6,256,0.052416
7,64,0.051104
7,128,0.057472
7,256,0.063584
8,64,0.093696
8,128,0.051584
8,256,0.051936
9,64,0.05696
9,128,0.062048
9,256,0.06016
10,64,0.080928
10,128,0.049312
10,256,0.058912
11,64,0.050816
11,128,0.050976
11,256,0.080096
12,64,0.058048
12,128,0.04864
12,256,0.05744
13,64,0.048832
13,128,0.06992
13,256,0.05216
14,64,0.05664
14,128,0.051584
14,256,0.064768
15,64,0.051072
15,128,0.036992
15,256,0.04576
16,64,0.041344
16,128,0.03392
16,256,0.039776
17,64,0.090176
17,128,0.044608
17,256,0.039552
18,64,0.436512
18,128,0.73312
18,256,0.767296
19,64,0.902656
19,128,2.34899
19,256,1.2168
